id,tipo,descripcion,lat,lon,fecha_extraccion,cuadrante,calle
74,desconocido,Evento tipo desconocido,-33.64875,-70.61999999999999,2025-04-28 19:53:14,Q3_1_5,Ñuñoa Plaza Egaña
75,LOL,Evento tipo LOL,-33.64875,-70.61999999999999,2025-04-28 19:53:14,Q3_1_5,Recoleta
76,happy,Evento tipo happy,-33.64875,-70.61999999999999,2025-04-28 19:53:14,Q3_1_5,San Bernardo
77,desconocido,Evento tipo desconocido,-33.611875,-70.77999999999999,2025-04-28 19:53:23,Q3_2_1,Providencia
78,happy,Evento tipo happy,-33.611875,-70.77999999999999,2025-04-28 19:53:23,Q3_2_1,Plaza Italia
79,peaceful,Evento tipo peaceful,-33.611875,-70.77999999999999,2025-04-28 19:53:23,Q3_2_1,Ñuñoa Plaza Egaña
80,LOL,Evento tipo LOL,-33.611875,-70.77999999999999,2025-04-28 19:53:23,Q3_2_1,Ñuñoa Plaza Egaña
81,wild,Evento tipo wild,-33.611875,-70.77999999999999,2025-04-28 19:53:23,Q3_2_1,Apoquindo Las Condes
82,inlove,Evento tipo inlove,-33.611875,-70.77999999999999,2025-04-28 19:53:23,Q3_2_1,Vespucio Norte
83,desconocido,Evento tipo desconocido,-33.611875,-70.74,2025-04-28 19:53:31,Q3_2_2,San Joaquín
84,happy,Evento tipo happy,-33.611875,-70.74,2025-04-28 19:53:31,Q3_2_2,Providencia
85,desconocido,Evento tipo desconocido,-33.611875,-70.69999999999999,2025-04-28 19:53:38,Q3_2_3,Maipú
86,happy,Evento tipo happy,-33.611875,-70.69999999999999,2025-04-28 19:53:38,Q3_2_3,Vespucio Norte
87,zombie,Evento tipo zombie,-33.611875,-70.69999999999999,2025-04-28 19:53:38,Q3_2_3,Ñuñoa Plaza Egaña
88,ninja,Evento tipo ninja,-33.611875,-70.69999999999999,2025-04-28 19:53:38,Q3_2_3,Lo Prado
89,sunny,Evento tipo sunny,-33.611875,-70.69999999999999,2025-04-28 19:53:38,Q3_2_3,Peñalolén
90,LOL,Evento tipo LOL,-33.611875,-70.69999999999999,2025-04-28 19:53:38,Q3_2_3,Huechuraba
91,peaceful,Evento tipo peaceful,-33.611875,-70.69999999999999,2025-04-28 19:53:38,Q3_2_3,Ñuñoa Plaza Egaña
92,desconocido,Evento tipo desconocido,-33.611875,-70.65999999999998,2025-04-28 19:53:46,Q3_2_4,Huechuraba
93,sunny,Evento tipo sunny,-33.611875,-70.65999999999998,2025-04-28 19:53:46,Q3_2_4,Los Dominicos
94,happy,Evento tipo happy,-33.611875,-70.65999999999998,2025-04-28 19:53:46,Q3_2_4,Plaza Italia
95,inlove,Evento tipo inlove,-33.611875,-70.65999999999998,2025-04-28 19:53:46,Q3_2_4,Peñalolén
96,zombie,Evento tipo zombie,-33.611875,-70.65999999999998,2025-04-28 19:53:46,Q3_2_4,Camino a Melipilla
97,desconocido,Evento tipo desconocido,-33.611875,-70.61999999999999,2025-04-28 19:53:55,Q3_2_5,Peñalolén
98,police,Evento tipo police,-33.611875,-70.61999999999999,2025-04-28 19:53:55,Q3_2_5,Quinta Normal
99,happy,Evento tipo happy,-33.611875,-70.61999999999999,2025-04-28 19:53:55,Q3_2_5,Maipú
100,sunny,Evento tipo sunny,-33.611875,-70.61999999999999,2025-04-28 19:53:55,Q3_2_5,Apoquindo Las Condes
101,LOL,Evento tipo LOL,-33.611875,-70.61999999999999,2025-04-28 19:53:55,Q3_2_5,Independencia
102,peaceful,Evento tipo peaceful,-33.611875,-70.61999999999999,2025-04-28 19:53:55,Q3_2_5,Maipú
103,ninja,Evento tipo ninja,-33.611875,-70.61999999999999,2025-04-28 19:53:55,Q3_2_5,Puente Alto
104,desconocido,Evento tipo desconocido,-33.575,-70.77999999999999,2025-04-28 19:54:03,Q3_3_1,Av. La Florida
105,peaceful,Evento tipo peaceful,-33.575,-70.77999999999999,2025-04-28 19:54:03,Q3_3_1,Maipú
106,happy,Evento tipo happy,-33.575,-70.77999999999999,2025-04-28 19:54:03,Q3_3_1,Camino a Melipilla
107,sunny,Evento tipo sunny,-33.575,-70.77999999999999,2025-04-28 19:54:03,Q3_3_1,San Miguel
108,desconocido,Evento tipo desconocido,-33.575,-70.74,2025-04-28 19:54:11,Q3_3_2,Lo Barnechea
109,happy,Evento tipo happy,-33.575,-70.74,2025-04-28 19:54:11,Q3_3_2,Maipú
110,peaceful,Evento tipo peaceful,-33.575,-70.74,2025-04-28 19:54:11,Q3_3_2,Av. La Florida
111,desconocido,Evento tipo desconocido,-33.575,-70.69999999999999,2025-04-28 19:54:19,Q3_3_3,Apoquindo Las Condes
112,peaceful,Evento tipo peaceful,-33.575,-70.69999999999999,2025-04-28 19:54:19,Q3_3_3,Quinta Normal
113,happy,Evento tipo happy,-33.575,-70.69999999999999,2025-04-28 19:54:19,Q3_3_3,La Cisterna
114,LOL,Evento tipo LOL,-33.575,-70.69999999999999,2025-04-28 19:54:19,Q3_3_3,Alameda Centro
115,zombie,Evento tipo zombie,-33.575,-70.69999999999999,2025-04-28 19:54:19,Q3_3_3,Av. La Florida
116,inlove,Evento tipo inlove,-33.575,-70.69999999999999,2025-04-28 19:54:19,Q3_3_3,Huechuraba
117,desconocido,Evento tipo desconocido,-33.575,-70.65999999999998,2025-04-28 19:54:26,Q3_3_4,Huechuraba
118,happy,Evento tipo happy,-33.575,-70.65999999999998,2025-04-28 19:54:26,Q3_3_4,Ñuñoa Plaza Egaña
119,peaceful,Evento tipo peaceful,-33.575,-70.65999999999998,2025-04-28 19:54:26,Q3_3_4,Apoquindo Las Condes
120,ninja,Evento tipo ninja,-33.575,-70.65999999999998,2025-04-28 19:54:26,Q3_3_4,Vespucio Sur
121,sunny,Evento tipo sunny,-33.575,-70.65999999999998,2025-04-28 19:54:26,Q3_3_4,Los Dominicos
122,LOL,Evento tipo LOL,-33.575,-70.65999999999998,2025-04-28 19:54:26,Q3_3_4,Lo Prado
123,desconocido,Evento tipo desconocido,-33.575,-70.61999999999999,2025-04-28 19:54:35,Q3_3_5,Camino a Melipilla
124,happy,Evento tipo happy,-33.575,-70.61999999999999,2025-04-28 19:54:35,Q3_3_5,San Bernardo
125,sunny,Evento tipo sunny,-33.575,-70.61999999999999,2025-04-28 19:54:35,Q3_3_5,Grecia Ñuñoa
126,peaceful,Evento tipo peaceful,-33.575,-70.61999999999999,2025-04-28 19:54:35,Q3_3_5,San Bernardo
127,LOL,Evento tipo LOL,-33.575,-70.61999999999999,2025-04-28 19:54:35,Q3_3_5,Av. La Florida
128,ninja,Evento tipo ninja,-33.575,-70.61999999999999,2025-04-28 19:54:35,Q3_3_5,San Miguel
129,speedy,Evento tipo speedy,-33.575,-70.61999999999999,2025-04-28 19:54:35,Q3_3_5,Autopista Central
130,desconocido,Evento tipo desconocido,-33.538125,-70.77999999999999,2025-04-28 19:54:43,Q3_4_1,Quinta Normal
131,sunny,Evento tipo sunny,-33.538125,-70.77999999999999,2025-04-28 19:54:43,Q3_4_1,Autopista Central
132,happy,Evento tipo happy,-33.538125,-70.77999999999999,2025-04-28 19:54:43,Q3_4_1,Lo Barnechea
133,peaceful,Evento tipo peaceful,-33.538125,-70.77999999999999,2025-04-28 19:54:43,Q3_4_1,Camino a Melipilla
134,ninja,Evento tipo ninja,-33.538125,-70.77999999999999,2025-04-28 19:54:43,Q3_4_1,Ñuñoa Plaza Egaña
135,desconocido,Evento tipo desconocido,-33.538125,-70.74,2025-04-28 19:54:55,Q3_4_2,Ñuñoa Plaza Egaña
136,sunny,Evento tipo sunny,-33.538125,-70.74,2025-04-28 19:54:55,Q3_4_2,San Joaquín
137,happy,Evento tipo happy,-33.538125,-70.74,2025-04-28 19:54:55,Q3_4_2,Providencia
138,LOL,Evento tipo LOL,-33.538125,-70.74,2025-04-28 19:54:55,Q3_4_2,Recoleta
139,peaceful,Evento tipo peaceful,-33.538125,-70.74,2025-04-28 19:54:55,Q3_4_2,Macul
140,desconocido,Evento tipo desconocido,-33.538125,-70.69999999999999,2025-04-28 19:55:03,Q3_4_3,San Joaquín
141,inlove,Evento tipo inlove,-33.538125,-70.69999999999999,2025-04-28 19:55:03,Q3_4_3,Puente Alto
142,LOL,Evento tipo LOL,-33.538125,-70.69999999999999,2025-04-28 19:55:03,Q3_4_3,Puente Alto
143,happy,Evento tipo happy,-33.538125,-70.69999999999999,2025-04-28 19:55:03,Q3_4_3,Peñalolén
144,ninja,Evento tipo ninja,-33.538125,-70.69999999999999,2025-04-28 19:55:03,Q3_4_3,San Miguel
145,zombie,Evento tipo zombie,-33.538125,-70.69999999999999,2025-04-28 19:55:03,Q3_4_3,San Miguel
146,peaceful,Evento tipo peaceful,-33.538125,-70.69999999999999,2025-04-28 19:55:03,Q3_4_3,Maipú
147,desconocido,Evento tipo desconocido,-33.538125,-70.65999999999998,2025-04-28 19:55:11,Q3_4_4,Maipú
148,road-closed,Evento tipo road-closed,-33.538125,-70.65999999999998,2025-04-28 19:55:11,Q3_4_4,Plaza Italia
149,happy,Evento tipo happy,-33.538125,-70.65999999999998,2025-04-28 19:55:11,Q3_4_4,Costanera Norte
150,sunny,Evento tipo sunny,-33.538125,-70.65999999999998,2025-04-28 19:55:11,Q3_4_4,Peñalolén
151,peaceful,Evento tipo peaceful,-33.538125,-70.65999999999998,2025-04-28 19:55:11,Q3_4_4,Providencia
152,inlove,Evento tipo inlove,-33.538125,-70.65999999999998,2025-04-28 19:55:11,Q3_4_4,Providencia
153,zombie,Evento tipo zombie,-33.538125,-70.65999999999998,2025-04-28 19:55:11,Q3_4_4,Ñuñoa Plaza Egaña
154,LOL,Evento tipo LOL,-33.538125,-70.65999999999998,2025-04-28 19:55:11,Q3_4_4,Vespucio Norte
155,desconocido,Evento tipo desconocido,-33.538125,-70.61999999999999,2025-04-28 19:55:20,Q3_4_5,Macul
156,happy,Evento tipo happy,-33.538125,-70.61999999999999,2025-04-28 19:55:20,Q3_4_5,San Bernardo
157,inlove,Evento tipo inlove,-33.538125,-70.61999999999999,2025-04-28 19:55:20,Q3_4_5,Las Rejas
158,peaceful,Evento tipo peaceful,-33.538125,-70.61999999999999,2025-04-28 19:55:20,Q3_4_5,Plaza Italia
159,sunny,Evento tipo sunny,-33.538125,-70.61999999999999,2025-04-28 19:55:20,Q3_4_5,San Miguel
160,desconocido,Evento tipo desconocido,-33.50125000000001,-70.77999999999999,2025-04-28 19:55:29,Q3_5_1,Plaza Italia
161,happy,Evento tipo happy,-33.50125000000001,-70.77999999999999,2025-04-28 19:55:29,Q3_5_1,Lo Barnechea
162,inlove,Evento tipo inlove,-33.50125000000001,-70.77999999999999,2025-04-28 19:55:29,Q3_5_1,Estación Central
163,sunny,Evento tipo sunny,-33.50125000000001,-70.77999999999999,2025-04-28 19:55:29,Q3_5_1,Alameda Centro
164,ninja,Evento tipo ninja,-33.50125000000001,-70.77999999999999,2025-04-28 19:55:29,Q3_5_1,La Cisterna
165,peaceful,Evento tipo peaceful,-33.50125000000001,-70.77999999999999,2025-04-28 19:55:29,Q3_5_1,Macul
166,LOL,Evento tipo LOL,-33.50125000000001,-70.77999999999999,2025-04-28 19:55:29,Q3_5_1,Maipú
167,zombie,Evento tipo zombie,-33.50125000000001,-70.77999999999999,2025-04-28 19:55:29,Q3_5_1,Ñuñoa Plaza Egaña
168,desconocido,Evento tipo desconocido,-33.50125000000001,-70.74,2025-04-28 19:55:38,Q3_5_2,Las Rejas
169,hazard,Evento tipo hazard,-33.50125000000001,-70.74,2025-04-28 19:55:38,Q3_5_2,Plaza Italia
170,happy,Evento tipo happy,-33.50125000000001,-70.74,2025-04-28 19:55:38,Q3_5_2,Plaza Italia
171,peaceful,Evento tipo peaceful,-33.50125000000001,-70.74,2025-04-28 19:55:38,Q3_5_2,San Bernardo
172,zombie,Evento tipo zombie,-33.50125000000001,-70.74,2025-04-28 19:55:38,Q3_5_2,Camino a Melipilla
173,speedy,Evento tipo speedy,-33.50125000000001,-70.74,2025-04-28 19:55:38,Q3_5_2,Lo Barnechea
174,inlove,Evento tipo inlove,-33.50125000000001,-70.74,2025-04-28 19:55:38,Q3_5_2,Independencia
175,sunny,Evento tipo sunny,-33.50125000000001,-70.74,2025-04-28 19:55:38,Q3_5_2,La Cisterna
176,desconocido,Evento tipo desconocido,-33.50125000000001,-70.69999999999999,2025-04-28 19:55:46,Q3_5_3,San Bernardo
177,chit-chat,Evento tipo chit-chat,-33.50125000000001,-70.69999999999999,2025-04-28 19:55:46,Q3_5_3,Recoleta
178,hazard,Evento tipo hazard,-33.50125000000001,-70.69999999999999,2025-04-28 19:55:46,Q3_5_3,Lo Barnechea
179,inlove,Evento tipo inlove,-33.50125000000001,-70.69999999999999,2025-04-28 19:55:46,Q3_5_3,Vespucio Sur
180,LOL,Evento tipo LOL,-33.50125000000001,-70.69999999999999,2025-04-28 19:55:46,Q3_5_3,Autopista Central
181,ninja,Evento tipo ninja,-33.50125000000001,-70.69999999999999,2025-04-28 19:55:46,Q3_5_3,San Miguel
182,happy,Evento tipo happy,-33.50125000000001,-70.69999999999999,2025-04-28 19:55:46,Q3_5_3,Providencia
183,zombie,Evento tipo zombie,-33.50125000000001,-70.69999999999999,2025-04-28 19:55:46,Q3_5_3,San Bernardo
184,peaceful,Evento tipo peaceful,-33.50125000000001,-70.69999999999999,2025-04-28 19:55:46,Q3_5_3,Estación Central
185,sunny,Evento tipo sunny,-33.50125000000001,-70.69999999999999,2025-04-28 19:55:46,Q3_5_3,Macul
186,desconocido,Evento tipo desconocido,-33.50125000000001,-70.65999999999998,2025-04-28 19:55:55,Q3_5_4,Grecia Ñuñoa
187,happy,Evento tipo happy,-33.50125000000001,-70.65999999999998,2025-04-28 19:55:55,Q3_5_4,Maipú
188,sunny,Evento tipo sunny,-33.50125000000001,-70.65999999999998,2025-04-28 19:55:55,Q3_5_4,Grecia Ñuñoa
189,desconocido,Evento tipo desconocido,-33.50125000000001,-70.61999999999999,2025-04-28 19:56:03,Q3_5_5,Av. La Florida
190,peaceful,Evento tipo peaceful,-33.50125000000001,-70.61999999999999,2025-04-28 19:56:03,Q3_5_5,Ñuñoa Plaza Egaña
191,inlove,Evento tipo inlove,-33.50125000000001,-70.61999999999999,2025-04-28 19:56:03,Q3_5_5,Peñalolén
192,happy,Evento tipo happy,-33.50125000000001,-70.61999999999999,2025-04-28 19:56:03,Q3_5_5,Plaza Italia
193,sunny,Evento tipo sunny,-33.50125000000001,-70.61999999999999,2025-04-28 19:56:03,Q3_5_5,San Joaquín
194,desconocido,Evento tipo desconocido,-33.685625,-70.82,2025-04-28 19:56:11,Q4_1_1,Grecia Ñuñoa
195,desconocido,Evento tipo desconocido,-33.685625,-70.77999999999999,2025-04-28 19:56:20,Q4_1_2,Las Rejas
196,desconocido,Evento tipo desconocido,-33.685625,-70.74,2025-04-28 19:56:28,Q4_1_3,Lo Prado
197,happy,Evento tipo happy,-33.685625,-70.74,2025-04-28 19:56:28,Q4_1_3,La Cisterna
198,sunny,Evento tipo sunny,-33.685625,-70.74,2025-04-28 19:56:28,Q4_1_3,Grecia Ñuñoa
199,peaceful,Evento tipo peaceful,-33.685625,-70.74,2025-04-28 19:56:28,Q4_1_3,Ñuñoa Plaza Egaña
200,ninja,Evento tipo ninja,-33.685625,-70.74,2025-04-28 19:56:28,Q4_1_3,Ñuñoa Plaza Egaña
201,desconocido,Evento tipo desconocido,-33.685625,-70.69999999999999,2025-04-28 19:56:36,Q4_1_4,Vespucio Norte
202,happy,Evento tipo happy,-33.685625,-70.69999999999999,2025-04-28 19:56:36,Q4_1_4,Los Dominicos
203,peaceful,Evento tipo peaceful,-33.685625,-70.69999999999999,2025-04-28 19:56:36,Q4_1_4,San Miguel
204,ninja,Evento tipo ninja,-33.685625,-70.69999999999999,2025-04-28 19:56:36,Q4_1_4,Puente Alto
205,desconocido,Evento tipo desconocido,-33.685625,-70.65999999999998,2025-04-28 19:56:45,Q4_1_5,Camino a Melipilla
206,happy,Evento tipo happy,-33.685625,-70.65999999999998,2025-04-28 19:56:45,Q4_1_5,San Miguel
207,ninja,Evento tipo ninja,-33.685625,-70.65999999999998,2025-04-28 19:56:45,Q4_1_5,Estación Central
208,peaceful,Evento tipo peaceful,-33.685625,-70.65999999999998,2025-04-28 19:56:45,Q4_1_5,Costanera Norte
209,desconocido,Evento tipo desconocido,-33.685625,-70.61999999999999,2025-04-28 19:56:53,Q4_1_6,Peñalolén
210,desconocido,Evento tipo desconocido,-33.685625,-70.57999999999998,2025-04-28 19:57:01,Q4_1_7,Plaza Italia
211,LOL,Evento tipo LOL,-33.685625,-70.57999999999998,2025-04-28 19:57:01,Q4_1_7,Av. La Florida
212,happy,Evento tipo happy,-33.685625,-70.57999999999998,2025-04-28 19:57:01,Q4_1_7,Maipú
213,geek,Evento tipo geek,-33.685625,-70.57999999999998,2025-04-28 19:57:01,Q4_1_7,San Bernardo
214,sunny,Evento tipo sunny,-33.685625,-70.57999999999998,2025-04-28 19:57:01,Q4_1_7,Providencia
215,desconocido,Evento tipo desconocido,-33.64875,-70.82,2025-04-28 19:57:10,Q4_2_1,Ñuñoa Plaza Egaña
216,happy,Evento tipo happy,-33.64875,-70.82,2025-04-28 19:57:10,Q4_2_1,Maipú
217,inlove,Evento tipo inlove,-33.64875,-70.82,2025-04-28 19:57:10,Q4_2_1,Los Dominicos
218,sunny,Evento tipo sunny,-33.64875,-70.82,2025-04-28 19:57:10,Q4_2_1,Pudahuel
219,desconocido,Evento tipo desconocido,-33.64875,-70.77999999999999,2025-04-28 19:57:17,Q4_2_2,Las Rejas
220,happy,Evento tipo happy,-33.64875,-70.77999999999999,2025-04-28 19:57:17,Q4_2_2,Macul
221,desconocido,Evento tipo desconocido,-33.64875,-70.74,2025-04-28 19:57:24,Q4_2_3,La Cisterna
222,happy,Evento tipo happy,-33.64875,-70.74,2025-04-28 19:57:24,Q4_2_3,Independencia
223,LOL,Evento tipo LOL,-33.64875,-70.74,2025-04-28 19:57:24,Q4_2_3,Pudahuel
224,desconocido,Evento tipo desconocido,-33.64875,-70.69999999999999,2025-04-28 19:57:32,Q4_2_4,Peñalolén
225,LOL,Evento tipo LOL,-33.64875,-70.69999999999999,2025-04-28 19:57:32,Q4_2_4,San Bernardo
226,happy,Evento tipo happy,-33.64875,-70.69999999999999,2025-04-28 19:57:32,Q4_2_4,Autopista Central
227,zombie,Evento tipo zombie,-33.64875,-70.69999999999999,2025-04-28 19:57:32,Q4_2_4,Lo Prado
228,sunny,Evento tipo sunny,-33.64875,-70.69999999999999,2025-04-28 19:57:32,Q4_2_4,Maipú
229,inlove,Evento tipo inlove,-33.64875,-70.69999999999999,2025-04-28 19:57:32,Q4_2_4,Huechuraba
230,peaceful,Evento tipo peaceful,-33.64875,-70.69999999999999,2025-04-28 19:57:32,Q4_2_4,Las Rejas
231,desconocido,Evento tipo desconocido,-33.64875,-70.65999999999998,2025-04-28 19:57:39,Q4_2_5,Lo Barnechea
232,happy,Evento tipo happy,-33.64875,-70.65999999999998,2025-04-28 19:57:39,Q4_2_5,San Bernardo
233,LOL,Evento tipo LOL,-33.64875,-70.65999999999998,2025-04-28 19:57:39,Q4_2_5,Vespucio Norte
